name,time,mean_value
ping4,1505302200000000000,0.034565
ping4,1505302500000000000,0.036069
ping4,1505302800000000000,0.03493
ping4,1505303100000000000,0.03515
ping4,1505303400000000000,0.035091
ping4,1505303700000000000,0.036665
ping4,1505304000000000000,0.034538
ping4,1505304300000000000,0.034088
ping4,1505304600000000000,0.034139
ping4,1505304900000000000,0.033897
ping4,1505305200000000000,0.035954
ping4,1505305500000000000,0.035051
ping4,1505305800000000000,0.035695
ping4,1505306100000000000,0.036098
ping4,1505306400000000000,0.034424
ping4,1505306700000000000,0.035388
ping4,1505307000000000000,0.035578
ping4,1505307300000000000,0.035063
ping4,1505307600000000000,0.034709
ping4,1505307900000000000,0.034106
ping4,1505308200000000000,0.035793
ping4,1505308500000000000,0.035172
ping4,1505308800000000000,0.034318
ping4,1505309100000000000,0.034286
ping4,1505309400000000000,0.036457
ping4,1505309700000000000,0.035217
ping4,1505310000000000000,0.035635
ping4,1505310300000000000,0.037463
ping4,1505310600000000000,0.03638
ping4,1505310900000000000,0.033978
ping4,1505311200000000000,0.034107
ping4,1505311500000000000,0.035574
ping4,1505311800000000000,0.034282
ping4,1505312100000000000,0.034156
ping4,1505312400000000000,0.034803
ping4,1505312700000000000,0.036342
ping4,1505313000000000000,0.03402
ping4,1505313300000000000,0.036167
ping4,1505313600000000000,0.034737
ping4,1505313900000000000,0.036999
ping4,1505314200000000000,0.03596
ping4,1505314500000000000,0.034505
ping4,1505314800000000000,0.033854
ping4,1505315100000000000,0.033913
ping4,1505315400000000000,0.034461
ping4,1505315700000000000,0.034193
ping4,1505316000000000000,0.034808
ping4,1505316300000000000,0.034014
ping4,1505316600000000000,0.03378
ping4,1505316900000000000,0.034039
ping4,1505317200000000000,0.034108
ping4,1505317500000000000,0.034116
ping4,1505317800000000000,0.034831
ping4,1505318100000000000,0.034116
ping4,1505318400000000000,0.035764
ping4,1505318700000000000,0.036113
ping4,1505319000000000000,0.034148
ping4,1505319300000000000,0.034358
ping4,1505319600000000000,0.034931
ping4,1505319900000000000,0.03453
ping4,1505320200000000000,0.0343
ping4,1505320500000000000,0.035243
ping4,1505320800000000000,0.036211
ping4,1505321100000000000,0.03401
ping4,1505321400000000000,0.034016
ping4,1505321700000000000,0.034102
ping4,1505322000000000000,0.034365
ping4,1505322300000000000,0.03441
ping4,1505322600000000000,0.03563
ping4,1505322900000000000,0.034446
ping4,1505323200000000000,0.034317
ping4,1505323500000000000,0.034964
ping4,1505323800000000000,0.033763
ping4,1505324100000000000,0.033745
ping4,1505324400000000000,0.034418
ping4,1505324700000000000,0.034339
ping4,1505325000000000000,0.034118
ping4,1505325300000000000,0.03386
ping4,1505325600000000000,0.036841
ping4,1505325900000000000,0.035042
ping4,1505326200000000000,0.034089
ping4,1505326500000000000,0.035635
ping4,1505326800000000000,0.034226
ping4,1505327100000000000,0.034159
ping4,1505327400000000000,0.031911
ping4,1505327700000000000,0.034458
ping4,1505328000000000000,0.033806
ping4,1505328300000000000,0.034564
ping4,1505328600000000000,0.035963
ping4,1505328900000000000,0.034268
ping4,1505329200000000000,0.034718
ping4,1505329500000000000,0.034335
ping4,1505329800000000000,0.034536
ping4,1505330100000000000,0.034075
ping4,1505330400000000000,0.034227
ping4,1505330700000000000,0.034066
ping4,1505331000000000000,0.034189
ping4,1505331300000000000,0.03515
ping4,1505331600000000000,0.034675
ping4,1505331900000000000,0.034509
ping4,1505332200000000000,0.034152
ping4,1505332500000000000,0.034185
ping4,1505332800000000000,0.034549
ping4,1505333100000000000,0.034892
ping4,1505333400000000000,0.034085
ping4,1505333700000000000,0.033998
ping4,1505334000000000000,0.033659
ping4,1505334300000000000,0.033726
ping4,1505334600000000000,0.033706
ping4,1505334900000000000,0.033694
ping4,1505335200000000000,0.033878
ping4,1505335500000000000,0.033846
ping4,1505335800000000000,0.03367
ping4,1505336100000000000,0.033713
ping4,1505336400000000000,0.033691
ping4,1505336700000000000,0.03369
ping4,1505337000000000000,0.033843
ping4,1505337300000000000,0.03378
ping4,1505337600000000000,0.033624
ping4,1505337900000000000,0.033798
ping4,1505338200000000000,0.033959
ping4,1505338500000000000,0.033889
ping4,1505338800000000000,0.033878
ping4,1505339100000000000,0.033937
ping4,1505339400000000000,0.033763
ping4,1505339700000000000,0.033658
ping4,1505340000000000000,0.033653
ping4,1505340300000000000,0.03379
ping4,1505340600000000000,0.033803
ping4,1505340900000000000,0.03427
ping4,1505341200000000000,0.034074
ping4,1505341500000000000,0.033674
ping4,1505341800000000000,0.033686
ping4,1505342100000000000,0.033783
ping4,1505342400000000000,0.033714
ping4,1505342700000000000,0.033781
ping4,1505343000000000000,0.033707
ping4,1505343300000000000,0.034391
ping4,1505343600000000000,0.03377
ping4,1505343900000000000,0.033679
ping4,1505344200000000000,0.033733
ping4,1505344500000000000,0.033708
ping4,1505344800000000000,0.034153
ping4,1505345100000000000,0.033729
ping4,1505345400000000000,0.033941
ping4,1505345700000000000,0.033908
ping4,1505346000000000000,0.033997
ping4,1505346300000000000,0.033722
ping4,1505346600000000000,0.033721
ping4,1505346900000000000,0.033686
ping4,1505347200000000000,0.033729
ping4,1505347500000000000,0.033861
ping4,1505347800000000000,0.033806
ping4,1505348100000000000,0.033774
ping4,1505348400000000000,0.034159
ping4,1505348700000000000,0.034144
ping4,1505349000000000000,0.034221
ping4,1505349300000000000,0.034217
ping4,1505349600000000000,0.034156
ping4,1505349900000000000,0.032992
ping4,1505350200000000000,0.033335
ping4,1505350500000000000,0.033847
ping4,1505350800000000000,0.032575
ping4,1505351100000000000,0.032627
ping4,1505351400000000000,0.03323
ping4,1505351700000000000,0.033858
ping4,1505352000000000000,0.037403
ping4,1505352300000000000,0.03493
ping4,1505352600000000000,0.033815
ping4,1505352900000000000,0.032947
ping4,1505353200000000000,0.032925
ping4,1505353500000000000,0.034803
ping4,1505353800000000000,0.033788
ping4,1505354100000000000,0.03375
ping4,1505354400000000000,0.033304
ping4,1505354700000000000,0.032952
ping4,1505355000000000000,0.036053
ping4,1505355300000000000,0.037244
ping4,1505355600000000000,0.035746
ping4,1505355900000000000,0.033232
ping4,1505356200000000000,0.032993
ping4,1505356500000000000,0.032809
ping4,1505356800000000000,0.034756
ping4,1505357100000000000,0.035072
ping4,1505357400000000000,0.033351
ping4,1505357700000000000,0.033584
ping4,1505358000000000000,0.034347
ping4,1505358300000000000,0.034347
ping4,1505358600000000000,0.034347
ping4,1505358900000000000,0.034347
ping4,1505359200000000000,0.034347
ping4,1505359500000000000,0.036338
ping4,1505359800000000000,0.035556
ping4,1505360100000000000,0.037369
ping4,1505360400000000000,0.036892
ping4,1505360700000000000,0.035405
